,symbol,longAccount,longShortRatio,shortAccount,timestamp
0,BTCUSDT,0.7141,2.4977,0.2859,1725237000000
1,BTCUSDT,0.7127,2.4807,0.2873,1725238800000
2,BTCUSDT,0.7126,2.4795,0.2874,1725240600000
3,BTCUSDT,0.7128,2.4819,0.2872,1725242400000
4,BTCUSDT,0.7116,2.4674,0.2884,1725244200000
5,BTCUSDT,0.7126,2.4795,0.2874,1725246000000
6,BTCUSDT,0.7068,2.4106,0.2932,1725247800000
7,BTCUSDT,0.7077,2.4211,0.2923,1725249600000
8,BTCUSDT,0.7075,2.4188,0.2925,1725251400000
9,BTCUSDT,0.7069,2.4118,0.2931,1725253200000
10,BTCUSDT,0.7076,2.4200,0.2924,1725255000000
11,BTCUSDT,0.7057,2.3979,0.2943,1725256800000
12,BTCUSDT,0.7036,2.3738,0.2964,1725258600000
13,BTCUSDT,0.7025,2.3613,0.2975,1725260400000
14,BTCUSDT,0.7007,2.3411,0.2993,1725262200000
15,BTCUSDT,0.7025,2.3613,0.2975,1725264000000
16,BTCUSDT,0.6959,2.2884,0.3041,1725265800000
17,BTCUSDT,0.6862,2.1867,0.3138,1725267600000
18,BTCUSDT,0.6838,2.1626,0.3162,1725269400000
19,BTCUSDT,0.6897,2.2227,0.3103,1725271200000
20,BTCUSDT,0.6873,2.1980,0.3127,1725273000000
21,BTCUSDT,0.6814,2.1387,0.3186,1725274800000
22,BTCUSDT,0.6798,2.1230,0.3202,1725276600000
23,BTCUSDT,0.6759,2.0855,0.3241,1725278400000
24,BTCUSDT,0.6728,2.0562,0.3272,1725280200000
25,BTCUSDT,0.6697,2.0276,0.3303,1725282000000
26,BTCUSDT,0.6709,2.0386,0.3291,1725283800000
27,BTCUSDT,0.6670,2.0030,0.3330,1725285600000
28,BTCUSDT,0.6696,2.0266,0.3304,1725287400000
29,BTCUSDT,0.6705,2.0349,0.3295,1725289200000
30,BTCUSDT,0.6689,2.0202,0.3311,1725291000000
31,BTCUSDT,0.6684,2.0157,0.3316,1725292800000
32,BTCUSDT,0.6665,1.9985,0.3335,1725294600000
33,BTCUSDT,0.6652,1.9869,0.3348,1725296400000
34,BTCUSDT,0.6698,2.0285,0.3302,1725298200000
35,BTCUSDT,0.6713,2.0423,0.3287,1725300000000
