,symbol,longAccount,longShortRatio,shortAccount,timestamp
0,BTCUSDT,0.5957,1.4734,0.4043,2024-08-22 18:00:00
1,BTCUSDT,0.5975,1.4845,0.4025,2024-08-22 19:00:00
2,BTCUSDT,0.6044,1.5278,0.3956,2024-08-22 20:00:00
3,BTCUSDT,0.6055,1.5349,0.3945,2024-08-22 21:00:00
4,BTCUSDT,0.6057,1.5361,0.3943,2024-08-22 22:00:00
5,BTCUSDT,0.6062,1.5394,0.3938,2024-08-22 23:00:00
6,BTCUSDT,0.6104,1.5667,0.3896,2024-08-23 00:00:00
7,BTCUSDT,0.6064,1.5407,0.3936,2024-08-23 01:00:00
8,BTCUSDT,0.6061,1.5387,0.3939,2024-08-23 02:00:00
9,BTCUSDT,0.6050,1.5316,0.3950,2024-08-23 03:00:00
10,BTCUSDT,0.6058,1.5368,0.3942,2024-08-23 04:00:00
11,BTCUSDT,0.6097,1.5621,0.3903,2024-08-23 05:00:00
12,BTCUSDT,0.5982,1.4888,0.4018,2024-08-23 06:00:00
13,BTCUSDT,0.5800,1.3810,0.4200,2024-08-23 07:00:00
14,BTCUSDT,0.5767,1.3624,0.4233,2024-08-23 08:00:00
15,BTCUSDT,0.5740,1.3474,0.4260,2024-08-23 09:00:00
16,BTCUSDT,0.5644,1.2957,0.4356,2024-08-23 10:00:00
17,BTCUSDT,0.5661,1.3047,0.4339,2024-08-23 11:00:00
18,BTCUSDT,0.5708,1.3299,0.4292,2024-08-23 12:00:00
19,BTCUSDT,0.5772,1.3652,0.4228,2024-08-23 13:00:00
20,BTCUSDT,0.5750,1.3529,0.4250,2024-08-23 14:00:00
21,BTCUSDT,0.5713,1.3326,0.4287,2024-08-23 15:00:00
22,BTCUSDT,0.5517,1.2306,0.4483,2024-08-23 16:00:00
23,BTCUSDT,0.5516,1.2302,0.4484,2024-08-23 17:00:00
24,BTCUSDT,0.5202,1.0842,0.4798,2024-08-23 18:00:00
25,BTCUSDT,0.4909,0.9643,0.5091,2024-08-23 19:00:00
26,BTCUSDT,0.4861,0.9459,0.5139,2024-08-23 20:00:00
27,BTCUSDT,0.4760,0.9084,0.5240,2024-08-23 21:00:00
28,BTCUSDT,0.4873,0.9505,0.5127,2024-08-23 22:00:00
29,BTCUSDT,0.4809,0.9264,0.5191,2024-08-23 23:00:00
30,BTCUSDT,0.4745,0.9029,0.5255,2024-08-24 00:00:00
31,BTCUSDT,0.4757,0.9073,0.5243,2024-08-24 01:00:00
32,BTCUSDT,0.4701,0.8871,0.5299,2024-08-24 02:00:00
33,BTCUSDT,0.4740,0.9011,0.5260,2024-08-24 03:00:00
34,BTCUSDT,0.4726,0.8961,0.5274,2024-08-24 04:00:00
35,BTCUSDT,0.4728,0.8968,0.5272,2024-08-24 05:00:00
36,BTCUSDT,0.4763,0.9095,0.5237,2024-08-24 06:00:00
37,BTCUSDT,0.4847,0.9406,0.5153,2024-08-24 07:00:00
38,BTCUSDT,0.4889,0.9566,0.5111,2024-08-24 08:00:00
39,BTCUSDT,0.4867,0.9482,0.5133,2024-08-24 09:00:00
40,BTCUSDT,0.4827,0.9331,0.5173,2024-08-24 10:00:00
41,BTCUSDT,0.4754,0.9062,0.5246,2024-08-24 11:00:00
42,BTCUSDT,0.4700,0.8868,0.5300,2024-08-24 12:00:00
43,BTCUSDT,0.4755,0.9066,0.5245,2024-08-24 13:00:00
44,BTCUSDT,0.4787,0.9183,0.5213,2024-08-24 14:00:00
45,BTCUSDT,0.4808,0.9260,0.5192,2024-08-24 15:00:00
46,BTCUSDT,0.4779,0.9153,0.5221,2024-08-24 16:00:00
47,BTCUSDT,0.4899,0.9604,0.5101,2024-08-24 17:00:00
48,BTCUSDT,0.4919,0.9681,0.5081,2024-08-24 18:00:00
49,BTCUSDT,0.4897,0.9596,0.5103,2024-08-24 19:00:00
50,BTCUSDT,0.4887,0.9558,0.5113,2024-08-24 20:00:00
51,BTCUSDT,0.4895,0.9589,0.5105,2024-08-24 21:00:00
52,BTCUSDT,0.4821,0.9309,0.5179,2024-08-24 22:00:00
53,BTCUSDT,0.4874,0.9508,0.5126,2024-08-24 23:00:00
54,BTCUSDT,0.4905,0.9627,0.5095,2024-08-25 00:00:00
55,BTCUSDT,0.4816,0.9290,0.5184,2024-08-25 01:00:00
56,BTCUSDT,0.4800,0.9231,0.5200,2024-08-25 02:00:00
57,BTCUSDT,0.4807,0.9257,0.5193,2024-08-25 03:00:00
58,BTCUSDT,0.4789,0.9190,0.5211,2024-08-25 04:00:00
59,BTCUSDT,0.4812,0.9275,0.5188,2024-08-25 05:00:00
60,BTCUSDT,0.4825,0.9324,0.5175,2024-08-25 06:00:00
61,BTCUSDT,0.4802,0.9238,0.5198,2024-08-25 07:00:00
62,BTCUSDT,0.4765,0.9102,0.5235,2024-08-25 08:00:00
63,BTCUSDT,0.4796,0.9216,0.5204,2024-08-25 09:00:00
64,BTCUSDT,0.4820,0.9305,0.5180,2024-08-25 10:00:00
65,BTCUSDT,0.4829,0.9339,0.5171,2024-08-25 11:00:00
66,BTCUSDT,0.4878,0.9524,0.5122,2024-08-25 12:00:00
67,BTCUSDT,0.4902,0.9616,0.5098,2024-08-25 13:00:00
68,BTCUSDT,0.4943,0.9775,0.5057,2024-08-25 14:00:00
69,BTCUSDT,0.4912,0.9654,0.5088,2024-08-25 15:00:00
70,BTCUSDT,0.4880,0.9531,0.5120,2024-08-25 16:00:00
71,BTCUSDT,0.4853,0.9429,0.5147,2024-08-25 17:00:00
72,BTCUSDT,0.4878,0.9524,0.5122,2024-08-25 18:00:00
73,BTCUSDT,0.4886,0.9554,0.5114,2024-08-25 19:00:00
74,BTCUSDT,0.4877,0.9520,0.5123,2024-08-25 20:00:00
75,BTCUSDT,0.4861,0.9459,0.5139,2024-08-25 21:00:00
76,BTCUSDT,0.4872,0.9501,0.5128,2024-08-25 22:00:00
77,BTCUSDT,0.4860,0.9455,0.5140,2024-08-25 23:00:00
78,BTCUSDT,0.4842,0.9387,0.5158,2024-08-26 00:00:00
79,BTCUSDT,0.4828,0.9335,0.5172,2024-08-26 01:00:00
80,BTCUSDT,0.4833,0.9354,0.5167,2024-08-26 02:00:00
81,BTCUSDT,0.4883,0.9543,0.5117,2024-08-26 03:00:00
82,BTCUSDT,0.4912,0.9654,0.5088,2024-08-26 04:00:00
83,BTCUSDT,0.4923,0.9697,0.5077,2024-08-26 05:00:00
84,BTCUSDT,0.4936,0.9747,0.5064,2024-08-26 06:00:00
85,BTCUSDT,0.4929,0.9720,0.5071,2024-08-26 07:00:00
86,BTCUSDT,0.4956,0.9826,0.5044,2024-08-26 08:00:00
87,BTCUSDT,0.5001,1.0004,0.4999,2024-08-26 09:00:00
88,BTCUSDT,0.5043,1.0173,0.4957,2024-08-26 10:00:00
89,BTCUSDT,0.5077,1.0313,0.4923,2024-08-26 11:00:00
90,BTCUSDT,0.5101,1.0412,0.4899,2024-08-26 12:00:00
91,BTCUSDT,0.5086,1.0350,0.4914,2024-08-26 13:00:00
92,BTCUSDT,0.5131,1.0538,0.4869,2024-08-26 14:00:00
93,BTCUSDT,0.5204,1.0851,0.4796,2024-08-26 15:00:00
94,BTCUSDT,0.5187,1.0777,0.4813,2024-08-26 16:00:00
95,BTCUSDT,0.5170,1.0704,0.4830,2024-08-26 17:00:00
96,BTCUSDT,0.5172,1.0713,0.4828,2024-08-26 18:00:00
97,BTCUSDT,0.5125,1.0513,0.4875,2024-08-26 19:00:00
98,BTCUSDT,0.5134,1.0551,0.4866,2024-08-26 20:00:00
99,BTCUSDT,0.5179,1.0743,0.4821,2024-08-26 21:00:00
100,BTCUSDT,0.5256,1.1079,0.4744,2024-08-26 22:00:00
101,BTCUSDT,0.5262,1.1106,0.4738,2024-08-26 23:00:00
102,BTCUSDT,0.5307,1.1308,0.4693,2024-08-27 00:00:00
103,BTCUSDT,0.5378,1.1636,0.4622,2024-08-27 01:00:00
104,BTCUSDT,0.5393,1.1706,0.4607,2024-08-27 02:00:00
105,BTCUSDT,0.5417,1.1820,0.4583,2024-08-27 03:00:00
106,BTCUSDT,0.5488,1.2163,0.4512,2024-08-27 04:00:00
