exchange,fundingRate,nextFundingTime,predictedFundingRate
Binance,-0.001309,1726243200000.0,
OKX,0.00232523428573,1726243200000.0,
dYdX,0.00289592,1726239600000.0,
Bybit,0.000264,1726243200000.0,
Vertex,8.904e-05,1726237081000.0,
Bitget,-0.0022,1726243200000.0,
CoinEx,0.0,1726243177111.0,0.0
Bitfinex,0.006084,1726243200000.0,0.045559
Kraken,0.0009038577777776,1726239600000.0,-0.0038897333333336
HTX,0.0024613796509166,1726243200000.0,
BingX,0.01,1726243200000.0,
Gate,-0.0005,,-0.0005
Crypto.com,0.0042856,,-0.0027392
Coinbase,0.0024,,
