,Data/Hora (São Paulo),Long Account (%),Short Account (%),Long/Short Ratio
0,2024-08-23 21:00:00,47.45,52.55,0.903
1,2024-08-23 21:30:00,47.35,52.65,0.899
2,2024-08-23 22:00:00,47.57,52.43,0.907
3,2024-08-23 22:30:00,46.95,53.05,0.885
4,2024-08-23 23:00:00,47.01,52.99,0.887
5,2024-08-23 23:30:00,47.3,52.7,0.898
6,2024-08-24 00:00:00,47.4,52.6,0.901
7,2024-08-24 00:30:00,47.47,52.53,0.904
8,2024-08-24 01:00:00,47.26,52.74,0.896
9,2024-08-24 01:30:00,47.35,52.65,0.899
10,2024-08-24 02:00:00,47.28,52.72,0.897
11,2024-08-24 02:30:00,47.5,52.5,0.905
12,2024-08-24 03:00:00,47.63,52.37,0.909
13,2024-08-24 03:30:00,47.72,52.28,0.913
14,2024-08-24 04:00:00,48.47,51.53,0.941
15,2024-08-24 04:30:00,48.68,51.32,0.949
16,2024-08-24 05:00:00,48.89,51.11,0.957
17,2024-08-24 05:30:00,48.54,51.46,0.943
18,2024-08-24 06:00:00,48.67,51.33,0.948
19,2024-08-24 06:30:00,48.39,51.61,0.938
20,2024-08-24 07:00:00,48.27,51.73,0.933
21,2024-08-24 07:30:00,48.18,51.82,0.93
22,2024-08-24 08:00:00,47.54,52.46,0.906
23,2024-08-24 08:30:00,47.37,52.63,0.9
24,2024-08-24 09:00:00,47.0,53.0,0.887
25,2024-08-24 09:30:00,47.53,52.47,0.906
26,2024-08-24 10:00:00,47.55,52.45,0.907
27,2024-08-24 10:30:00,47.81,52.19,0.916
28,2024-08-24 11:00:00,47.87,52.13,0.918
29,2024-08-24 11:30:00,47.99,52.01,0.923
30,2024-08-24 12:00:00,48.08,51.92,0.926
31,2024-08-24 12:30:00,48.0,52.0,0.923
32,2024-08-24 13:00:00,47.79,52.21,0.915
33,2024-08-24 13:30:00,48.8,51.2,0.953
34,2024-08-24 14:00:00,48.99,51.01,0.96
35,2024-08-24 14:30:00,49.09,50.91,0.964
36,2024-08-24 15:00:00,49.19,50.81,0.968
37,2024-08-24 15:30:00,48.83,51.17,0.954
38,2024-08-24 16:00:00,48.97,51.03,0.96
39,2024-08-24 16:30:00,49.06,50.94,0.963
40,2024-08-24 17:00:00,48.87,51.13,0.956
41,2024-08-24 17:30:00,48.96,51.04,0.959
42,2024-08-24 18:00:00,48.95,51.05,0.959
43,2024-08-24 18:30:00,49.0,51.0,0.961
44,2024-08-24 19:00:00,48.21,51.79,0.931
45,2024-08-24 19:30:00,48.63,51.37,0.947
46,2024-08-24 20:00:00,48.74,51.26,0.951
47,2024-08-24 20:30:00,48.87,51.13,0.956
48,2024-08-24 21:00:00,49.05,50.95,0.963
49,2024-08-24 21:30:00,48.64,51.36,0.947
50,2024-08-24 22:00:00,48.16,51.84,0.929
51,2024-08-24 22:30:00,48.12,51.88,0.928
52,2024-08-24 23:00:00,48.0,52.0,0.923
53,2024-08-24 23:30:00,48.19,51.81,0.93
54,2024-08-25 00:00:00,48.07,51.93,0.926
55,2024-08-25 00:30:00,48.02,51.98,0.924
56,2024-08-25 01:00:00,47.89,52.11,0.919
57,2024-08-25 01:30:00,47.84,52.16,0.917
58,2024-08-25 02:00:00,48.12,51.88,0.928
59,2024-08-25 02:30:00,48.37,51.63,0.937
60,2024-08-25 03:00:00,48.25,51.75,0.932
61,2024-08-25 03:30:00,48.13,51.87,0.928
62,2024-08-25 04:00:00,48.02,51.98,0.924
63,2024-08-25 04:30:00,47.66,52.34,0.911
64,2024-08-25 05:00:00,47.65,52.35,0.91
65,2024-08-25 05:30:00,48.02,51.98,0.924
66,2024-08-25 06:00:00,47.96,52.04,0.922
67,2024-08-25 06:30:00,47.9,52.1,0.919
68,2024-08-25 07:00:00,48.2,51.8,0.931
69,2024-08-25 07:30:00,48.38,51.62,0.937
70,2024-08-25 08:00:00,48.29,51.71,0.934
71,2024-08-25 08:30:00,48.65,51.35,0.947
72,2024-08-25 09:00:00,48.78,51.22,0.952
73,2024-08-25 09:30:00,48.9,51.1,0.957
74,2024-08-25 10:00:00,49.02,50.98,0.962
75,2024-08-25 10:30:00,49.35,50.65,0.974
76,2024-08-25 11:00:00,49.43,50.57,0.977
77,2024-08-25 11:30:00,49.15,50.85,0.967
78,2024-08-25 12:00:00,49.12,50.88,0.965
79,2024-08-25 12:30:00,49.11,50.89,0.965
80,2024-08-25 13:00:00,48.8,51.2,0.953
81,2024-08-25 13:30:00,48.65,51.35,0.947
82,2024-08-25 14:00:00,48.53,51.47,0.943
83,2024-08-25 14:30:00,48.63,51.37,0.947
84,2024-08-25 15:00:00,48.78,51.22,0.952
