symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.7116,2.4674,0.2884,2024-09-02 00:00:00
BTCUSDT,0.7141,2.4977,0.2859,2024-09-02 00:30:00
BTCUSDT,0.7127,2.4807,0.2873,2024-09-02 01:00:00
BTCUSDT,0.7126,2.4795,0.2874,2024-09-02 01:30:00
BTCUSDT,0.7128,2.4819,0.2872,2024-09-02 02:00:00
BTCUSDT,0.7116,2.4674,0.2884,2024-09-02 02:30:00
BTCUSDT,0.7126,2.4795,0.2874,2024-09-02 03:00:00
BTCUSDT,0.7068,2.4106,0.2932,2024-09-02 03:30:00
BTCUSDT,0.7077,2.4211,0.2923,2024-09-02 04:00:00
BTCUSDT,0.7075,2.4188,0.2925,2024-09-02 04:30:00
BTCUSDT,0.7069,2.4118,0.2931,2024-09-02 05:00:00
BTCUSDT,0.7076,2.42,0.2924,2024-09-02 05:30:00
BTCUSDT,0.7057,2.3979,0.2943,2024-09-02 06:00:00
BTCUSDT,0.7036,2.3738,0.2964,2024-09-02 06:30:00
BTCUSDT,0.7025,2.3613,0.2975,2024-09-02 07:00:00
BTCUSDT,0.7007,2.3411,0.2993,2024-09-02 07:30:00
BTCUSDT,0.7025,2.3613,0.2975,2024-09-02 08:00:00
BTCUSDT,0.6959,2.2884,0.3041,2024-09-02 08:30:00
BTCUSDT,0.6862,2.1867,0.3138,2024-09-02 09:00:00
BTCUSDT,0.6838,2.1626,0.3162,2024-09-02 09:30:00
BTCUSDT,0.6897,2.2227,0.3103,2024-09-02 10:00:00
BTCUSDT,0.6873,2.198,0.3127,2024-09-02 10:30:00
BTCUSDT,0.6814,2.1387,0.3186,2024-09-02 11:00:00
BTCUSDT,0.6798,2.123,0.3202,2024-09-02 11:30:00
BTCUSDT,0.6759,2.0855,0.3241,2024-09-02 12:00:00
BTCUSDT,0.6728,2.0562,0.3272,2024-09-02 12:30:00
BTCUSDT,0.6697,2.0276,0.3303,2024-09-02 13:00:00
BTCUSDT,0.6709,2.0386,0.3291,2024-09-02 13:30:00
BTCUSDT,0.6670,2.003,0.3330,2024-09-02 14:00:00
BTCUSDT,0.6696,2.0266,0.3304,2024-09-02 14:30:00
BTCUSDT,0.6705,2.0349,0.3295,2024-09-02 15:00:00
BTCUSDT,0.6689,2.0202,0.3311,2024-09-02 15:30:00
BTCUSDT,0.6684,2.0157,0.3316,2024-09-02 16:00:00
BTCUSDT,0.6665,1.9985,0.3335,2024-09-02 16:30:00
BTCUSDT,0.6652,1.9869,0.3348,2024-09-02 17:00:00
BTCUSDT,0.6698,2.0285,0.3302,2024-09-02 17:30:00
BTCUSDT,0.6713,2.0423,0.3287,2024-09-02 18:00:00
BTCUSDT,0.6730,2.0581,0.3270,2024-09-02 18:30:00
BTCUSDT,0.6715,2.0441,0.3285,2024-09-02 19:00:00
BTCUSDT,0.6707,2.0367,0.3293,2024-09-02 19:30:00
BTCUSDT,0.6702,2.0321,0.3298,2024-09-02 20:00:00
BTCUSDT,0.6696,2.0266,0.3304,2024-09-02 20:30:00
BTCUSDT,0.6830,2.1546,0.3170,2024-09-02 21:00:00
BTCUSDT,0.6754,2.0807,0.3246,2024-09-02 21:30:00
BTCUSDT,0.6736,2.0637,0.3264,2024-09-02 22:00:00
BTCUSDT,0.6731,2.059,0.3269,2024-09-02 22:30:00
BTCUSDT,0.6728,2.0562,0.3272,2024-09-02 23:00:00
BTCUSDT,0.6682,2.0139,0.3318,2024-09-02 23:30:00
BTCUSDT,0.6684,2.0157,0.3316,2024-09-03 00:00:00
BTCUSDT,0.6685,2.0166,0.3315,2024-09-03 00:30:00
BTCUSDT,0.6715,2.0441,0.3285,2024-09-03 01:00:00
BTCUSDT,0.6681,2.013,0.3319,2024-09-03 01:30:00
BTCUSDT,0.6661,1.9949,0.3339,2024-09-03 02:00:00
BTCUSDT,0.6624,1.9621,0.3376,2024-09-03 02:30:00
BTCUSDT,0.6628,1.9656,0.3372,2024-09-03 03:00:00
BTCUSDT,0.6618,1.9568,0.3382,2024-09-03 03:30:00
BTCUSDT,0.6606,1.9464,0.3394,2024-09-03 04:00:00
BTCUSDT,0.6603,1.9438,0.3397,2024-09-03 04:30:00
BTCUSDT,0.6606,1.9464,0.3394,2024-09-03 05:00:00
BTCUSDT,0.6595,1.9369,0.3405,2024-09-03 05:30:00
BTCUSDT,0.6585,1.9283,0.3415,2024-09-03 06:00:00
BTCUSDT,0.6554,1.9019,0.3446,2024-09-03 06:30:00
BTCUSDT,0.6530,1.8818,0.3470,2024-09-03 07:00:00
BTCUSDT,0.6544,1.8935,0.3456,2024-09-03 07:30:00
BTCUSDT,0.6581,1.9248,0.3419,2024-09-03 08:00:00
BTCUSDT,0.6560,1.907,0.3440,2024-09-03 08:30:00
BTCUSDT,0.6556,1.9036,0.3444,2024-09-03 09:00:00
BTCUSDT,0.6571,1.9163,0.3429,2024-09-03 09:30:00
BTCUSDT,0.6559,1.9061,0.3441,2024-09-03 10:00:00
BTCUSDT,0.6609,1.949,0.3391,2024-09-03 10:30:00
BTCUSDT,0.6606,1.9464,0.3394,2024-09-03 11:00:00
BTCUSDT,0.6610,1.9499,0.3390,2024-09-03 11:30:00
BTCUSDT,0.6614,1.9533,0.3386,2024-09-03 12:00:00
BTCUSDT,0.6652,1.9869,0.3348,2024-09-03 12:30:00
BTCUSDT,0.6639,1.9753,0.3361,2024-09-03 13:00:00
BTCUSDT,0.6617,1.956,0.3383,2024-09-03 13:30:00
BTCUSDT,0.6716,2.0451,0.3284,2024-09-03 14:00:00
BTCUSDT,0.6910,2.2362,0.3090,2024-09-03 14:30:00
BTCUSDT,0.6979,2.3102,0.3021,2024-09-03 15:00:00
BTCUSDT,0.7061,2.4025,0.2939,2024-09-03 15:30:00
BTCUSDT,0.7086,2.4317,0.2914,2024-09-03 16:00:00
BTCUSDT,0.7134,2.4892,0.2866,2024-09-03 16:30:00
BTCUSDT,0.7141,2.4977,0.2859,2024-09-03 17:00:00
BTCUSDT,0.7138,2.4941,0.2862,2024-09-03 21:30:00
BTCUSDT,0.7133,2.488,0.2867,2024-09-03 22:00:00
BTCUSDT,0.7124,2.4771,0.2876,2024-09-03 22:30:00
BTCUSDT,0.7092,2.4388,0.2908,2024-09-03 23:00:00
BTCUSDT,0.7093,2.44,0.2907,2024-09-03 23:30:00
BTCUSDT,0.7070,2.413,0.2930,2024-09-04 00:00:00
BTCUSDT,0.7115,2.4662,0.2885,2024-09-04 00:30:00
BTCUSDT,0.7113,2.4638,0.2887,2024-09-04 01:00:00
BTCUSDT,0.6970,2.3003,0.3030,2024-09-04 15:30:00
BTCUSDT,0.6949,2.2776,0.3051,2024-09-04 16:00:00
BTCUSDT,0.6823,2.1476,0.3177,2024-09-04 16:30:00
BTCUSDT,0.6706,2.0358,0.3294,2024-09-04 17:00:00
BTCUSDT,0.6576,1.9206,0.3424,2024-09-04 17:30:00
BTCUSDT,0.6586,1.9291,0.3414,2024-09-04 18:00:00
BTCUSDT,0.6597,1.9386,0.3403,2024-09-04 18:30:00
BTCUSDT,0.6579,1.9231,0.3421,2024-09-04 19:00:00
BTCUSDT,0.6621,1.9595,0.3379,2024-09-04 19:30:00
BTCUSDT,0.6665,1.9985,0.3335,2024-09-04 20:00:00
BTCUSDT,0.6625,1.963,0.3375,2024-09-04 20:30:00
BTCUSDT,0.6627,1.9647,0.3373,2024-09-04 21:00:00
BTCUSDT,0.6607,1.9472,0.3393,2024-09-04 21:30:00
BTCUSDT,0.6611,1.9507,0.3389,2024-09-04 22:00:00
BTCUSDT,0.6645,1.9806,0.3355,2024-09-04 22:30:00
BTCUSDT,0.6644,1.9797,0.3356,2024-09-04 23:00:00
BTCUSDT,0.6650,1.9851,0.3350,2024-09-04 23:30:00
BTCUSDT,0.6605,1.9455,0.3395,2024-09-05 00:00:00
BTCUSDT,0.6624,1.9621,0.3376,2024-09-05 00:30:00
BTCUSDT,0.6606,1.9464,0.3394,2024-09-05 01:00:00
BTCUSDT,0.6609,1.949,0.3391,2024-09-05 01:30:00
BTCUSDT,0.6632,1.9691,0.3368,2024-09-05 02:00:00
BTCUSDT,0.6630,1.9674,0.3370,2024-09-05 02:30:00
BTCUSDT,0.6602,1.9429,0.3398,2024-09-05 03:00:00
BTCUSDT,0.6668,2.0012,0.3332,2024-09-05 03:30:00
BTCUSDT,0.6762,2.0883,0.3238,2024-09-05 04:00:00
BTCUSDT,0.6833,2.1576,0.3167,2024-09-05 04:30:00
BTCUSDT,0.6853,2.1776,0.3147,2024-09-05 05:00:00
BTCUSDT,0.6879,2.2041,0.3121,2024-09-05 05:30:00
BTCUSDT,0.6887,2.2123,0.3113,2024-09-05 06:00:00
BTCUSDT,0.6921,2.2478,0.3079,2024-09-05 06:30:00
BTCUSDT,0.6978,2.3091,0.3022,2024-09-05 07:00:00
BTCUSDT,0.7042,2.3807,0.2958,2024-09-05 07:30:00
BTCUSDT,0.7020,2.3557,0.2980,2024-09-05 08:00:00
BTCUSDT,0.7026,2.3625,0.2974,2024-09-05 08:30:00
BTCUSDT,0.6978,2.3091,0.3022,2024-09-05 09:00:00
BTCUSDT,0.6972,2.3025,0.3028,2024-09-05 09:30:00
BTCUSDT,0.7054,2.3944,0.2946,2024-09-05 10:00:00
BTCUSDT,0.7082,2.427,0.2918,2024-09-05 10:30:00
BTCUSDT,0.7131,2.4855,0.2869,2024-09-05 11:00:00
BTCUSDT,0.7102,2.4507,0.2898,2024-09-06 13:30:00
BTCUSDT,0.7127,2.4807,0.2873,2024-09-09 04:00:00
BTCUSDT,0.7092,2.4388,0.2908,2024-09-09 04:30:00
BTCUSDT,0.7091,2.4376,0.2909,2024-09-09 05:00:00
BTCUSDT,0.7106,2.4554,0.2894,2024-09-09 05:30:00
BTCUSDT,0.7102,2.4507,0.2898,2024-09-09 06:00:00
BTCUSDT,0.7097,2.4447,0.2903,2024-09-09 06:30:00
BTCUSDT,0.7110,2.4602,0.2890,2024-09-09 07:00:00
BTCUSDT,0.7108,2.4578,0.2892,2024-09-09 07:30:00
BTCUSDT,0.7102,2.4507,0.2898,2024-09-09 08:30:00
BTCUSDT,0.6994,2.3267,0.3006,2024-09-09 09:00:00
BTCUSDT,0.6989,2.3212,0.3011,2024-09-09 09:30:00
BTCUSDT,0.6923,2.2499,0.3077,2024-09-09 10:00:00
BTCUSDT,0.6907,2.2331,0.3093,2024-09-09 10:30:00
BTCUSDT,0.6862,2.1867,0.3138,2024-09-09 11:00:00
BTCUSDT,0.6867,2.1918,0.3133,2024-09-09 11:30:00
BTCUSDT,0.6851,2.1756,0.3149,2024-09-09 12:00:00
BTCUSDT,0.6848,2.1726,0.3152,2024-09-09 12:30:00
BTCUSDT,0.6889,2.2144,0.3111,2024-09-09 13:00:00
BTCUSDT,0.6870,2.1949,0.3130,2024-09-09 13:30:00
BTCUSDT,0.6840,2.1646,0.3160,2024-09-09 14:00:00
BTCUSDT,0.6829,2.1536,0.3171,2024-09-09 14:30:00
BTCUSDT,0.6921,2.2478,0.3079,2024-09-09 15:00:00
BTCUSDT,0.6897,2.2227,0.3103,2024-09-09 15:30:00
BTCUSDT,0.6825,2.1496,0.3175,2024-09-09 16:00:00
BTCUSDT,0.6655,1.9895,0.3345,2024-09-09 16:30:00
BTCUSDT,0.6531,1.8827,0.3469,2024-09-09 17:00:00
BTCUSDT,0.6427,1.7988,0.3573,2024-09-09 17:30:00
BTCUSDT,0.6333,1.727,0.3667,2024-09-09 18:00:00
BTCUSDT,0.6290,1.6954,0.3710,2024-09-09 18:30:00
BTCUSDT,0.6289,1.6947,0.3711,2024-09-09 19:00:00
BTCUSDT,0.6330,1.7248,0.3670,2024-09-09 19:30:00
BTCUSDT,0.6345,1.736,0.3655,2024-09-09 20:00:00
BTCUSDT,0.6266,1.6781,0.3734,2024-09-09 20:30:00
BTCUSDT,0.6253,1.6688,0.3747,2024-09-09 21:00:00
BTCUSDT,0.6336,1.7293,0.3664,2024-09-09 21:30:00
BTCUSDT,0.6317,1.7152,0.3683,2024-09-09 22:00:00
BTCUSDT,0.6306,1.7071,0.3694,2024-09-09 22:30:00
BTCUSDT,0.6258,1.6724,0.3742,2024-09-09 23:00:00
BTCUSDT,0.6256,1.6709,0.3744,2024-09-09 23:30:00
BTCUSDT,0.6198,1.6302,0.3802,2024-09-10 00:00:00
BTCUSDT,0.6128,1.5826,0.3872,2024-09-10 00:30:00
BTCUSDT,0.6202,1.633,0.3798,2024-09-10 01:00:00
BTCUSDT,0.6165,1.6076,0.3835,2024-09-10 01:30:00
BTCUSDT,0.6140,1.5907,0.3860,2024-09-10 02:00:00
BTCUSDT,0.6127,1.582,0.3873,2024-09-10 02:30:00
BTCUSDT,0.6133,1.586,0.3867,2024-09-10 03:00:00
BTCUSDT,0.6130,1.584,0.3870,2024-09-10 03:30:00
BTCUSDT,0.6118,1.576,0.3882,2024-09-10 04:00:00
BTCUSDT,0.6174,1.6137,0.3826,2024-09-10 04:30:00
BTCUSDT,0.6178,1.6164,0.3822,2024-09-10 05:00:00
BTCUSDT,0.6284,1.6911,0.3716,2024-09-10 05:30:00
BTCUSDT,0.6279,1.6874,0.3721,2024-09-10 06:00:00
BTCUSDT,0.6245,1.6631,0.3755,2024-09-10 06:30:00
