date,time_of_day,open_interest
2024-08-29,11:00:00,60695.3
2024-08-29,11:30:00,60836.3
2024-08-29,12:00:00,60945.0
2024-08-29,12:30:00,60953.3
2024-08-29,13:00:00,60757.7
2024-08-29,13:30:00,60452.9
2024-08-29,14:00:00,60320.9
2024-08-29,14:30:00,60542.1
2024-08-29,15:00:00,59903.4
2024-08-29,15:30:00,59291.2
2024-08-29,16:00:00,59185.7
2024-08-29,16:30:00,59493.2
2024-08-29,17:00:00,59402.6
2024-08-29,17:30:00,59455.1
2024-08-29,18:00:00,59556.5
2024-08-29,18:30:00,59540.9
2024-08-29,19:00:00,59059.1
2024-08-29,19:30:00,59218.0
2024-08-29,20:00:00,59290.7
2024-08-29,20:30:00,59349.4
2024-08-29,21:00:00,59245.2
2024-08-29,21:30:00,59362.2
2024-08-29,22:00:00,59091.4
2024-08-29,22:30:00,59132.2
2024-08-29,23:00:00,59225.0
2024-08-29,23:30:00,59170.8
2024-08-30,00:00:00,59014.2
2024-08-30,00:30:00,59009.6
2024-08-30,01:00:00,59111.4
2024-08-30,01:30:00,59036.4
2024-08-30,02:00:00,58795.7
2024-08-30,02:30:00,58825.3
2024-08-30,03:00:00,58801.8
2024-08-30,03:30:00,59182.5
2024-08-30,04:00:00,59358.1
2024-08-30,04:30:00,59349.3
2024-08-30,05:00:00,59362.4
2024-08-30,05:30:00,59481.8
2024-08-30,06:00:00,59555.8
2024-08-30,06:30:00,59591.1
2024-08-30,07:00:00,59590.0
2024-08-30,07:30:00,59531.6
2024-08-30,08:00:00,59503.7
2024-08-30,08:30:00,59408.5
2024-08-30,09:00:00,59492.5
2024-08-30,09:30:00,59690.0
2024-08-30,10:00:00,59490.5
2024-08-30,10:30:00,59351.8
2024-08-30,11:00:00,59432.6
2024-08-30,11:30:00,58779.2
2024-08-30,12:00:00,58279.4
2024-08-30,12:30:00,58115.3
2024-08-30,13:00:00,58088.6
2024-08-30,13:30:00,58340.0
2024-08-30,14:00:00,58535.0
2024-08-30,14:30:00,58576.2
2024-08-30,15:00:00,58799.8
2024-08-30,15:30:00,59221.4
2024-08-30,16:00:00,59040.5
2024-08-30,16:30:00,58873.5
2024-08-30,17:00:00,58835.9
2024-08-30,17:30:00,58957.0
2024-08-30,18:00:00,59082.8
2024-08-30,18:30:00,59032.6
2024-08-30,19:00:00,59130.6
2024-08-30,19:30:00,59184.9
2024-08-30,20:00:00,59185.4
2024-08-30,20:30:00,59123.8
2024-08-30,21:00:00,59175.3
2024-08-30,21:30:00,59302.6
2024-08-30,22:00:00,59258.9
2024-08-30,22:30:00,59281.3
2024-08-30,23:00:00,59216.7
2024-08-30,23:30:00,59167.4
2024-08-31,00:00:00,59148.7
2024-08-31,00:30:00,59222.4
2024-08-31,01:00:00,59221.6
2024-08-31,01:30:00,59284.1
2024-08-31,02:00:00,59259.3
2024-08-31,02:30:00,59249.8
2024-08-31,03:00:00,59215.2
2024-08-31,03:30:00,59218.6
2024-08-31,04:00:00,59184.8
2024-08-31,04:30:00,59125.7
2024-08-31,05:00:00,59106.1
2024-08-31,05:30:00,59068.5
2024-08-31,06:00:00,58955.1
2024-08-31,06:30:00,58945.6
2024-08-31,07:00:00,58957.0
2024-08-31,07:30:00,59061.8
2024-08-31,08:00:00,59130.7
2024-08-31,08:30:00,59149.3
2024-08-31,09:00:00,59151.6
2024-08-31,09:30:00,59171.0
2024-08-31,10:00:00,59216.4
2024-08-31,10:30:00,59168.6
2024-08-31,11:00:00,59006.2
2024-08-31,11:30:00,59092.3
2024-08-31,12:00:00,59019.2
2024-08-31,12:30:00,58997.5
2024-08-31,13:00:00,58991.3
2024-08-31,13:30:00,58941.2
2024-08-31,14:00:00,58908.2
2024-08-31,14:30:00,58849.3
2024-08-31,15:00:00,59066.9
2024-08-31,15:30:00,59010.5
2024-08-31,16:00:00,58908.7
2024-08-31,16:30:00,58863.1
2024-08-31,17:00:00,58859.4
2024-08-31,17:30:00,58922.7
2024-08-31,18:00:00,58967.4
2024-08-31,18:30:00,59064.5
2024-08-31,19:00:00,59053.3
2024-08-31,19:30:00,59035.0
2024-08-31,20:00:00,58990.9
2024-08-31,20:30:00,58969.5
2024-08-31,21:00:00,58995.7
2024-08-31,21:30:00,58948.4
2024-08-31,22:00:00,58891.5
2024-08-31,22:30:00,58882.5
2024-08-31,23:00:00,58524.1
2024-08-31,23:30:00,58455.8
