,symbol,longAccount,longShortRatio,shortAccount,timestamp
0,BTCUSDT,0.6283,1.6903,0.3717,2024-08-19 21:30:00
1,BTCUSDT,0.6104,1.5667,0.3896,2024-08-19 22:00:00
2,BTCUSDT,0.6027,1.5170,0.3973,2024-08-19 22:30:00
3,BTCUSDT,0.5936,1.4606,0.4064,2024-08-19 23:00:00
4,BTCUSDT,0.5872,1.4225,0.4128,2024-08-19 23:30:00
5,BTCUSDT,0.5869,1.4207,0.4131,2024-08-20 00:00:00
6,BTCUSDT,0.5829,1.3975,0.4171,2024-08-20 00:30:00
7,BTCUSDT,0.5811,1.3872,0.4189,2024-08-20 01:00:00
8,BTCUSDT,0.5734,1.3441,0.4266,2024-08-20 01:30:00
9,BTCUSDT,0.5691,1.3207,0.4309,2024-08-20 02:00:00
10,BTCUSDT,0.5655,1.3015,0.4345,2024-08-20 02:30:00
11,BTCUSDT,0.5586,1.2655,0.4414,2024-08-20 03:00:00
12,BTCUSDT,0.5532,1.2381,0.4468,2024-08-20 03:30:00
13,BTCUSDT,0.5487,1.2158,0.4513,2024-08-20 04:00:00
14,BTCUSDT,0.5428,1.1872,0.4572,2024-08-20 04:30:00
15,BTCUSDT,0.5431,1.1887,0.4569,2024-08-20 05:00:00
16,BTCUSDT,0.5363,1.1566,0.4637,2024-08-20 05:30:00
17,BTCUSDT,0.5365,1.1575,0.4635,2024-08-20 06:00:00
18,BTCUSDT,0.5427,1.1867,0.4573,2024-08-20 06:30:00
19,BTCUSDT,0.5403,1.1753,0.4597,2024-08-20 07:00:00
20,BTCUSDT,0.5398,1.1730,0.4602,2024-08-20 07:30:00
21,BTCUSDT,0.5395,1.1716,0.4605,2024-08-20 08:00:00
22,BTCUSDT,0.5343,1.1473,0.4657,2024-08-20 08:30:00
23,BTCUSDT,0.5396,1.1720,0.4604,2024-08-20 09:00:00
24,BTCUSDT,0.5454,1.1997,0.4546,2024-08-20 09:30:00
25,BTCUSDT,0.5443,1.1944,0.4557,2024-08-20 10:00:00
26,BTCUSDT,0.5431,1.1887,0.4569,2024-08-20 10:30:00
27,BTCUSDT,0.5548,1.2462,0.4452,2024-08-20 11:00:00
28,BTCUSDT,0.5664,1.3063,0.4336,2024-08-20 11:30:00
29,BTCUSDT,0.5934,1.4594,0.4066,2024-08-20 12:00:00
30,BTCUSDT,0.6323,1.7196,0.3677,2024-08-20 12:30:00
31,BTCUSDT,0.6454,1.8201,0.3546,2024-08-20 13:00:00
32,BTCUSDT,0.6537,1.8877,0.3463,2024-08-20 13:30:00
33,BTCUSDT,0.6582,1.9257,0.3418,2024-08-20 14:00:00
34,BTCUSDT,0.6633,1.9700,0.3367,2024-08-20 14:30:00
35,BTCUSDT,0.6709,2.0386,0.3291,2024-08-20 15:00:00
36,BTCUSDT,0.6741,2.0684,0.3259,2024-08-20 15:30:00
37,BTCUSDT,0.6684,2.0157,0.3316,2024-08-20 16:00:00
38,BTCUSDT,0.6681,2.0130,0.3319,2024-08-20 16:30:00
